id,text,label,misinformation_type,domain,semantic_focus,emotion_trigger,emotion_secondary,source_type,text_length
MIS-02801A,A whistleblower has confirmed the establishment hacked exit polls using sophisticated AI tools.,misinformation,rumor,politics,economic_prediction,curiosity,none,forum,13
MIS-DD6C1C,Regulatory testing confirms that international bodies have reviewed implantable health monitors safety evidence and found no cause for concern.,factual,none,technology,technology_fear,fear,hope,blog,19
MIS-2C76F7,Investment guru reveals secret to wealth: simply invest money before spending it — audiences stunned.,satire,none,finance,policy_claim,fear,curiosity,blog,15
MIS-587B8C,A single mother of three now earns financial freedom in 90 days weekly using this pre-IPO opportunity. Here is how — the opportunity disappears after this post.,misinformation,scam,finance,economic_prediction,urgency,none,messaging_app,27
MIS-341B46,International monitors certified that international observers rated the election among the most transparent in the nation's history.,factual,none,politics,policy_claim,neutral,none,blog,17
MIS-B6E616,longitudinal research spanning 30 years confirms that the mechanisms underlying deep-sea biodiversity are well understood and independently confirmed.,factual,none,science,scientific_misinterpretation,neutral,none,social_media,18
MIS-7E55FC,NASA and ESA data jointly confirm expert consensus on epigenetics research has grown stronger every decade as evidence has accumulated.,factual,none,science,scientific_misinterpretation,neutral,none,forum,20
MIS-B7F189,Independent researchers verified that genetic predisposition accounts for roughly 30% of bipolar disorder risk overall.,factual,none,health,scientific_misinterpretation,fear,none,forum,15
MIS-9213CD,AI researcher raises $4 billion for AI writing assistant that cannot yet load in under 10 seconds reliably.,satire,none,technology,technology_fear,neutral,none,forum,18
MIS-7356A5,Reasonable people can see that medical journals needs to invest far more in public awareness campaigns for chronic fatigue syndrome.,opinion,none,health,cure_claim,anger,none,forum,20
MIS-42A910,"The Bank for International Settlements reports that dollar-cost averaging reduces the impact of market timing errors for retail investors, a finding that holds across economic cycles.",factual,none,finance,economic_prediction,hope,none,blog,26
MIS-107856,NASA and ESA data jointly confirm microbiome science has been confirmed using at least five independent lines of experimental evidence.,factual,none,science,scientific_misinterpretation,hope,none,forum,20
MIS-DCFED0,New study confirms drinking enough water extends lifespan by 40 years — wellness industry blocks the publication.,satire,none,health,cure_claim,curiosity,none,blog,17
MIS-DC6070,The data clearly shows vaccine safety is funded by governments to manipulate public opinion — but try getting that published anywhere.,misinformation,propaganda,science,cure_claim,hope,none,messaging_app,21
MIS-BEA8D9,Critics rightly argue that transparency laws need urgent updating to expose the activities of multinational financiers.,opinion,none,politics,policy_claim,urgency,none,social_media,16
MIS-7A99DD,I lost everything until I discovered this commodity futures contract. Now I earn overnight six-figure income every month.,misinformation,propaganda,finance,policy_claim,urgency,curiosity,messaging_app,18
MIS-DF9C40,Study finds eating one grape daily eliminates need for all medication. pharmaceutical lobby questions the methodology.,satire,none,health,scientific_misinterpretation,curiosity,none,forum,16
MIS-655BE7,Big Pharma furious as new data confirms going to bed at a reasonable hour superior to entire pharmaceutical pipeline.,satire,none,health,cure_claim,neutral,none,forum,19
MIS-1FE743,"Speaking frankly, it is unacceptable that student loan borrowers are exploited by financial products designed to extract fees not build wealth.",opinion,none,finance,policy_claim,anger,none,blog,21
MIS-41036E,It seems clear to me that regulatory frameworks for biometric payment terminals are years behind the pace of intelligence-linked venture funds innovation.,opinion,none,technology,scientific_misinterpretation,curiosity,none,blog,22
MIS-9F18FB,A tenured professor lost his career after publishing proof that ocean acidification contradicts the findings of thousands of independent researchers.,misinformation,propaganda,science,policy_claim,anger,none,forum,20
MIS-632A2E,It seems clear to me that the liability framework for harms caused by smartphones must be completely redesigned.,opinion,none,technology,technology_fear,neutral,none,comment,18
MIS-ED1A0E,"National Academies of Sciences review panels confirm that the biological effects of wearable fitness trackers have been studied in over 25,000 peer-reviewed papers.",factual,none,technology,policy_claim,fear,none,blog,23
MIS-8CC1D9,the IPCC scientific consensus establishes independent funding agencies across 30 countries have reached the same conclusions on evolution.,factual,none,science,policy_claim,hope,none,blog,18
MIS-DCF052,"Independent auditors verified that small-cap value stocks have historically outperformed large-cap growth over long horizons, a finding that holds according to 30 years of data.",factual,none,finance,economic_prediction,neutral,none,blog,25
MIS-216573,Epidemiologists spend $8 million providing further evidence for funding applications take longer to write than the research they fund.,satire,none,science,scientific_misinterpretation,neutral,none,social_media,19
MIS-1542B6,Any honest analyst would admit that the pace of smart city sensors deployment by a transnational data brokerage has outstripped any meaningful democratic oversight.,opinion,none,technology,technology_fear,anger,none,blog,24
MIS-A0CDAC,I personally believe that patients with sickle cell disease are routinely denied adequate psychological support.,opinion,none,health,cure_claim,fear,anger,social_media,15
MIS-6ABCEF,"Looking at this objectively, caregivers of ALS patients receive almost no institutional support from pharmaceutical companies.",opinion,none,health,policy_claim,curiosity,none,blog,16
MIS-B0CCEA,Published bioelectromagnetics research shows that RFID implants operate well within internationally established safety emission limits.,factual,none,technology,scientific_misinterpretation,hope,none,forum,15
MIS-777A9A,Wellness industry panicking after grandmother reverses chronic illness simply by buying no supplements.,satire,none,health,policy_claim,curiosity,none,forum,13
MIS-54498C,The ruling party announces it has solved the economy — timeline subject to budget constraints.,satire,none,politics,economic_prediction,neutral,none,comment,15
MIS-3AABEC,Why does nitrogen cycle disruption has been quietly abandoned by leading experts? Because the alternative would bankrupt those funding the research.,misinformation,medical_claim,science,scientific_misinterpretation,urgency,none,social_media,21
MIS-A4A192,Astronomers publish 20000th study reconfirming dark matter — await 20001th to be sure.,satire,none,science,scientific_misinterpretation,curiosity,none,blog,13
MIS-454E90,Why does the Apollo moon landing is being used as a weapon to control the population? Because the alternative would bankrupt those funding the research.,misinformation,conspiracy,science,cure_claim,anger,none,messaging_app,25
MIS-D28913,Many thoughtful people feel that foreign policy has been quietly captured by state-sponsored hackers without public debate.,opinion,none,politics,economic_prediction,neutral,none,blog,17
MIS-07608A,Reasonable people can see that electoral reform will mean nothing without addressing the structural role of intelligence agencies.,opinion,none,politics,policy_claim,anger,none,social_media,18
MIS-9F92DA,Longitudinal studies confirm that passive investing consistently outperforms stock picking over periods exceeding 10 years in both bull and bear markets.,factual,none,finance,policy_claim,fear,none,social_media,21
MIS-C0351A,Peer-reviewed journal confirms eating actual food works — Big Pharma ignores the findings entirely.,satire,none,health,scientific_misinterpretation,hope,none,comment,14
MIS-8A8B34,"Longitudinal cohort data from 50,000 participants confirms that weight management substantially reduces the incidence of lupus in high-risk groups.",factual,none,health,policy_claim,fear,none,blog,19
MIS-76C9F4,Nobel-nominated researcher confirms clove oil flushes out heart disease. medical schools blocked the publication.,misinformation,myth,health,scientific_misinterpretation,fear,none,messaging_app,14
MIS-A2FF1F,wormwood capsules completely beats lupus. Thousands recovered. the European Medicines Agency labeled it unproven.,misinformation,medical_claim,health,scientific_misinterpretation,hope,none,messaging_app,14
MIS-BD24C2,AI researcher raises $10 million for wearable tracker that cannot yet navigate a roundabout in rain reliably.,satire,none,technology,policy_claim,hope,none,forum,17
MIS-7F5BD7,Independent auditors verified that financial literacy scores predict retirement preparedness more accurately than income level.,factual,none,finance,investment_promise,hope,none,blog,15
MIS-D178C1,Court rulings in multiple jurisdictions confirmed that the judicial appointment results were verified through multiple independent recounts.,factual,none,politics,policy_claim,curiosity,none,social_media,17
MIS-B31810,Why is government agencies spending billions lobbying against autonomous delivery drones safety research? Because autonomous delivery drones damage the immune system.,misinformation,conspiracy,technology,scientific_misinterpretation,fear,hope,messaging_app,21
MIS-B85A5D,FCC safety assessments verified that safety thresholds for next-generation routers include a 50-fold margin below any level showing biological effect.,factual,none,technology,policy_claim,hope,none,blog,20
MIS-09C92C,Particle physicist explains brain-computer interfaces to journalist — journalist writes about something else.,satire,none,science,policy_claim,neutral,none,forum,13
MIS-A07744,Market data verifies that small-cap value stocks have historically outperformed large-cap growth over long horizons across economic cycles.,factual,none,finance,economic_prediction,curiosity,none,blog,18
MIS-6786B0,Any honest analyst would admit that the liability framework for harms caused by autonomous delivery drones must be completely redesigned.,opinion,none,technology,technology_fear,anger,none,forum,20
MIS-E215A1,History clearly shows that prevention-focused strategies for ovarian cancer deserve far greater funding priority.,opinion,none,health,policy_claim,fear,none,blog,14
MIS-4E0793,"Arguably, democratic norms are being steadily eroded by the unchecked power of offshore think-tanks.",opinion,none,politics,economic_prediction,neutral,none,blog,14
MIS-8A0FDD,Reasonable people can see that the cost of treating Crohn's disease is placing unsustainable strain on public health systems.,opinion,none,health,cure_claim,fear,hope,blog,19
MIS-72EC5B,Multi-country epidemiological surveillance data shows that long-term epidemiological data shows no population-level health impact from quantum computing chips.,factual,none,technology,technology_fear,hope,none,blog,18
MIS-783D95,History clearly shows that contract workers face structural barriers that policy has consistently failed to address.,opinion,none,finance,economic_prediction,neutral,none,blog,16
MIS-8918BF,The cure for HIV exists. It is called wild lettuce extract. the NIH profits from keeping you sick.,misinformation,conspiracy,health,policy_claim,hope,none,messaging_app,18
MIS-B1BF5C,Retired banker confirms this binary options platform generates an eight-figure portfolio in under a year. Only insiders knew — until now.,misinformation,rumor,finance,investment_promise,urgency,none,forum,21
MIS-7D7722,Scientists fired by the MHRA proved that bloodroot paste prevents prostate cancer permanently without side effects.,misinformation,medical_claim,health,scientific_misinterpretation,fear,none,messaging_app,16
MIS-C7F421,Clinical trial: retiree tries apologising to vegetables instead of prescribed treatment — pharmaceutical lobby quietly buries the data.,satire,none,health,scientific_misinterpretation,curiosity,none,forum,18
MIS-C57A79,Most informed observers would agree that offshore tax havens drain trillions from public services that ordinary citizens depend on.,opinion,none,finance,investment_promise,curiosity,none,blog,19
MIS-B21B78,Official health data shows that weight management substantially reduces the incidence of ulcerative colitis in high-risk groups.,factual,none,health,policy_claim,fear,hope,blog,17
MIS-8B2FCC,"meta-analyses covering 10,000+ studies confirm that quantum computing research has been replicated across institutions on six continents.",factual,none,science,policy_claim,fear,none,forum,17
MIS-AC9F3C,"According to IEEE safety standards, 5G towers operate well within internationally established safety emission limits.",factual,none,technology,scientific_misinterpretation,hope,none,blog,15
MIS-3212C1,"In my view, the WHO has consistently underfunded muscular dystrophy research relative to its disease burden.",opinion,none,health,cure_claim,fear,none,social_media,16
MIS-74CBA4,Multiple sources prove a cabal of unelected bureaucrats destroyed key the gubernatorial race evidence overnight before audits.,misinformation,conspiracy,politics,economic_prediction,fear,none,messaging_app,17
